장,절,Code,항목,전결권자,합의,참조,보고,접수,참조조항,근거조항,비고
3,1,30102010200,50만원 초과 ~ 3백만원이하,본부장,,,,,,제3장 구매 1절 2조 1항 2호,
3,1,30102010300,50만원 이하,팀장,,,,,,제3장 구매 1절 2조 1항 3호,
3,1,30102020000,정기간행물 및 정기정보이용 구매,,,,,,,제3장 구매 1절 2조 2항,
3,1,30102020000,연간사용료 기준 - 1천만원초과,CEO,,,,,,제3장 구매 1절 2조 2항,구독형 S/W 포함
3,1,30102020000,연간사용료 기준 - 1백만원 초과 ~ 1천만원이하,본부장,,,,,,제3장 구매 1절 2조 2항,구독형 S/W 포함
3,1,30102020000,연간사용료 기준 - 1백만 이하,팀장,,,,,,제3장 구매 1절 2조 2항,구독형 S/W 포함
3,2,30201000000,공사/용역 계약,,,,,,,제3장 구매 2절 1조,"3장 2절의 구매는 공사/용역의 계약을 의미함
이사회 승인 건의 세부계약 체결은 CEO 전결에 따라 진행
공사 계약은 수요부서에서 품의하여 경영기획팀 계약담당자로 접수, 경영기획팀에서 계약체결
전문용역계약은 수요부서에서 품의하여 자체 계약 체결"
3,2,30201010000,구매요청(수요부서 품의),,,,,,,제3장 구매 2절 1조 1항,구매요청 금액은 추정가격 기준
3,2,30201010100,구매요청(투자예산),,,,,,,제3장 구매 2절 1조 1항 1호,
3,2,30201010101,1억원 초과,CEO,,,,담당,,제3장 구매 2절 1조 1항 1호 1목,"접수경로는 경영기획팀 계약담당자
계약금 집행은 수요부서에서 4장 3절 재무-지출의 전결에 따라 진행"
3,2,30201010102,1억원 이하,본부장,,,,담당,,제3장 구매 2절 1조 1항 1호 2목,"접수경로는 경영기획팀 계약담당자
계약금 집행은 수요부서에서 4장 3절 재무-지출의 전결에 따라 진행"
3,2,30201010200,구매요청(비용예산),,,,,,,제3장 구매 2절 1조 1항 2호,
3,2,30201010201,1억원 초과,CEO,,,,담당,,제3장 구매 2절 1조 1항 2호 1목,"접수경로는 경영기획팀 계약담당자
계약금 집행은 수요부서에서 4장 3절 재무-지출의 전결에 따라 진행"
3,2,30201010202,1억원 이하,본부장,,,,담당,,제3장 구매 2절 1조 1항 2호 2목,"접수경로는 경영기획팀 계약담당자
계약금 집행은 수요부서에서 4장 3절 재무-지출의 전결에 따라 진행"
3,2,30201010300,"ER이 없거나 구매내용이 일치하지 않는 구매(투자예산, 비용예산)",,,,,,,제3장 구매 2절 1조 1항 3호,
3,2,30201010301,3천만원 초과,CEO,,,,담당,,제3장 구매 2절 1조 1항 3호 1목,"접수경로는 경영기획팀 계약담당자
계약금 집행은 수요부서에서 4장 3절 재무-지출의 전결에 따라 진행"
