장,절,Code,항목,전결권자,합의,참조,보고,접수,참조조항,근거조항,비고
8,0,80005020100,배출권 관리계획 수립 및 시행,CEO,,,,,,제8장 사업개발/생산/홍보 5조 2항 1호,
8,0,80005020200,배출권 거래 시행,팀장,,,,,,제8장 사업개발/생산/홍보 5조 2항 2호,
8,0,80006000000,대정부 문서,본부장,,,CEO,,,제8장 사업개발/생산/홍보 6조,"지방자치단체 포함
대정부(산업통상자원부, 기획재정부, 공정위 등 행정기관 대상) 발송문서 및 제출자료는 필요하다고 판단되는 경우 발송 전에 경영기획팀과 협의하여야 함"
8,0,80007000000,대외 홍보용 자료 제공,,,,,,,제8장 사업개발/생산/홍보 7조,
8,0,80007010000,언론기관 원고제공,본부장,,,,,,제8장 사업개발/생산/홍보 7조 1항,
8,0,80007020000,대외 홍보용 자료,,,담당,본부장,,,제8장 사업개발/생산/홍보 7조 2항,경영기획팀 참조
8,0,80008000000,홍보,,,,,,,제8장 사업개발/생산/홍보 8조,
8,0,80008010000,홍보계획,,,,,,,제8장 사업개발/생산/홍보 8조 1항,
8,0,80008010100,기본계획 수립,CEO,,,,,,제8장 사업개발/생산/홍보 8조 1항 1호,
8,0,80008010200,세부계획 수립 및 시행,본부장,,,,,,제8장 사업개발/생산/홍보 8조 1항 2호,
8,0,80008020000,전파매체(TV등) 및 중앙일간지,CEO,,,,,,제8장 사업개발/생산/홍보 8조 2항,
8,0,80008030000,기타광고 및 협찬,본부장,,,,,,제8장 사업개발/생산/홍보 8조 3항,
8,0,80009000000,홍보물 제작 및 집행,,,,,,,제8장 사업개발/생산/홍보 9조,
8,0,80009010000,"홍보물(영상, 브로셔, 인쇄물등)제작 1천만원 초과",CEO,,,,,,제8장 사업개발/생산/홍보 9조 1항,
8,0,80009020000,"홍보물(영상, 브로셔, 인쇄물등)제작 1천만원 이하",본부장,,,,,,제8장 사업개발/생산/홍보 9조 2항,
8,0,80009030000,"홍보물(영상, 브로셔, 인쇄물등)제작 1백만원 이하",팀장,,,,,,제8장 사업개발/생산/홍보 9조 3항,
